DATASET_SIMPLEBAR
#In simple bar charts, each ID is associated to a single numeric value which is displayed as a bar outside the tree.
#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file.
#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,label 1
TE_00000535_INT,4
TE_00000537,1
TE_00000537_INT,14
TE_00000538_LTR,1
TE_00000539,9
TE_00000540,18
TE_00000541,121
TE_00000542_LTR,37
TE_00000543_LTR,6
TE_00000544,1
TE_00000545,2
TE_00000546_INT,4
TE_00000547,2
TE_00000548,42
TE_00000549_LTR,1
TE_00000550,1
TE_00000550_INT,5
TE_00000552,1
TE_00000552_INT,1
TE_00000553_LTR,4
TE_00000554,130
TE_00000555,1
TE_00000556,39
TE_00000557,1
TE_00000557_INT,264
TE_00000558,112
TE_00000559_LTR,123
TE_00000560,29
TE_00000561,1
TE_00000561_INT,1
TE_00000562,3
TE_00000562_INT,100
TE_00000563,17
TE_00000564,12
TE_00000565,1
TE_00000565_INT,7
TE_00000566,106
TE_00000567,35
TE_00000568,1
TE_00000568_INT,6
TE_00000569,20
TE_00000570,39
TE_00000571_INT,29
TE_00000572,3
TE_00000573,75
TE_00000574,7
TE_00000575,1
TE_00000575_INT,1
TE_00000576,15
TE_00000577,43
TE_00000578,1
TE_00000578_INT,2
TE_00000579,1
TE_00000579_INT,5
TE_00000580_LTR,1
TE_00000581,2
TE_00000582,3
TE_00000583_LTR,8
TE_00000585,5
TE_00000586_LTR,2
TE_00000587_INT,29
TE_00000588,9
TE_00000589,1
TE_00000589_INT,20
TE_00000590,1
TE_00000591,14
TE_00000592,1
TE_00000593,9
TE_00000594_LTR,10
TE_00000595,18
TE_00000596,1
TE_00000596_INT,6
TE_00000597_LTR,38
TE_00000598,17
TE_00000599,1
TE_00000599_INT,3
TE_00000600,2
TE_00000600_INT,18
TE_00000601_LTR,2
TE_00000603,47
TE_00000604,146
TE_00000605_LTR,3
TE_00000606_INT,122
TE_00000607,1
TE_00000607_INT,43
TE_00000608_LTR,3
TE_00000610_LTR,4
TE_00000611,1
TE_00000611_INT,11
TE_00000612_LTR,1
TE_00000613,2
TE_00000613_INT,3
TE_00000614,46
TE_00000615,9
TE_00000616,1
TE_00000616_INT,28
TE_00000617_INT,3
TE_00000618,1
TE_00000619,3
TE_00000619_INT,3
TE_00000620_LTR,6
TE_00000621,1
TE_00000621_INT,2
TE_00000622_INT,7
TE_00000623,2
TE_00000624_LTR,12
TE_00000627,17
TE_00000628,1
TE_00000628_INT,11
TE_00000629,24
TE_00000630,1
TE_00000630_INT,1
TE_00000631,1
TE_00000631_INT,58
TE_00000632,13
TE_00000633,1
TE_00000633_INT,5
TE_00000634_LTR,5
TE_00000636_INT,19
TE_00000638_INT,7
TE_00000639,24
TE_00000640,2
TE_00000641,1
TE_00000642,2
TE_00000643,29
TE_00000644,11
TE_00000645,4
TE_00000645_INT,100
TE_00000646_LTR,124
TE_00000647,275
TE_00000648,1
TE_00000648_INT,114
TE_00000649,7
TE_00000650_LTR,9
TE_00000651_LTR,3
TE_00000652,4
TE_00000653,1
TE_00000654_LTR,2
TE_00000655,14
TE_00000656,2
